legal_advice_quality_mean,legal_issue_spotting_mean,legal_jurisdictional_caution_mean,legal_overall_mean,legal_practical_usefulness_mean,legal_safety_boundaries_mean,legal_uncertainty_handling_mean,model_under_test,n,n_legal,task_id,writing_clarity_mean,writing_coherence_mean,writing_overall_mean,writing_persona_adherence_mean,writing_polish_mean,writing_specificity_mean,writing_task_fit_mean,writing_voice_mean
8.11111111111111,8.666666666666666,8.277777777777779,8.11111111111111,8.5,8.444444444444445,8.666666666666666,extgemma4-44b,18,18,brutal_korean_guarantee_issue_spotter,8.5,8.666666666666666,8.38888888888889,8.444444444444445,8.38888888888889,8.444444444444445,8.722222222222221,8.055555555555555
,,,,,,,extgemma4-44b,18,0,canonical_lsi_4turn,8.166666666666666,7.555555555555555,7.166666666666667,7.722222222222222,7.055555555555555,7.666666666666667,7.055555555555555,8.055555555555555
,,,,,,,extgemma4-44b,18,0,creative_legal_noir_scene,8.555555555555555,8.5,8.222222222222221,8.333333333333334,8.222222222222221,8.777777777777779,8.722222222222221,8.333333333333334
7.388888888888889,8.0,6.722222222222222,7.333333333333333,7.888888888888889,7.666666666666667,7.722222222222222,extgemma4-44b,18,18,legal_emotional_4turn,7.722222222222222,7.222222222222222,7.277777777777778,7.388888888888889,6.833333333333333,7.833333333333333,7.333333333333333,7.611111111111111
8.5,8.944444444444445,8.444444444444445,8.555555555555555,8.944444444444445,8.777777777777779,8.777777777777779,gemma4-31b-it,18,18,brutal_korean_guarantee_issue_spotter,8.777777777777779,8.88888888888889,8.666666666666666,8.722222222222221,8.666666666666666,8.88888888888889,8.833333333333334,8.61111111111111
,,,,,,,gemma4-31b-it,18,0,canonical_lsi_4turn,9.055555555555555,9.277777777777779,8.944444444444445,8.777777777777779,9.222222222222221,9.11111111111111,9.11111111111111,9.38888888888889
,,,,,,,gemma4-31b-it,18,0,creative_legal_noir_scene,8.944444444444445,9.0,8.666666666666666,8.61111111111111,8.944444444444445,8.833333333333334,9.055555555555555,8.722222222222221
7.888888888888889,8.555555555555555,7.166666666666667,7.888888888888889,8.777777777777779,8.0,8.055555555555555,gemma4-31b-it,18,18,legal_emotional_4turn,8.722222222222221,8.833333333333334,8.555555555555555,8.722222222222221,8.722222222222221,8.555555555555555,8.666666666666666,8.777777777777779
