judge_id,model_under_test,label,n_cards,item_r_mean,item_mae_mean,facet_r_mean,facet_mae_mean,domain_r_mean,domain_mae_mean
gemini3_flash,extgemma4-44b,extgemma4-44b / gemini3_flash,5,0.9192414501984366,0.335,0.9460475278620443,0.32166666666666666,0.9698173834091094,0.2516666666666666
gemini3_flash,gemma4-31b-it,gemma4-31b-it / gemini3_flash,5,0.930013189585819,0.26833333333333337,0.9553269754595719,0.2583333333333333,0.9776033924782584,0.20500000000000002
deepseek_v4_flash,extgemma4-44b,extgemma4-44b / deepseek_v4_flash,5,0.8301631529288859,0.57,0.870470926170019,0.5333333333333333,0.9325111574673288,0.4166666666666667
deepseek_v4_flash,gemma4-31b-it,gemma4-31b-it / deepseek_v4_flash,5,0.8757128298730983,0.4033333333333333,0.9073191836862031,0.39,0.9547692609517213,0.2733333333333333
