judge_id,legal_advice_quality_mean,legal_issue_spotting_mean,legal_jurisdictional_caution_mean,legal_overall_mean,legal_practical_usefulness_mean,legal_safety_boundaries_mean,legal_uncertainty_handling_mean,model_under_test,n,n_legal,writing_clarity_mean,writing_coherence_mean,writing_overall_mean,writing_persona_adherence_mean,writing_polish_mean,writing_specificity_mean,writing_task_fit_mean,writing_voice_mean
deepseek_v4_pro,8.333333333333334,8.916666666666666,8.166666666666666,8.333333333333334,8.75,8.75,8.666666666666666,extgemma4-44b,24,12,8.416666666666666,8.458333333333334,8.041666666666666,8.5,8.166666666666666,8.625,8.416666666666666,8.5
deepseek_v4_pro,8.75,9.25,8.583333333333334,8.833333333333334,9.333333333333334,9.333333333333334,9.083333333333334,gemma4-31b-it,24,12,8.833333333333334,9.25,8.833333333333334,9.25,9.083333333333334,9.25,9.166666666666666,9.125
glm_5_2,8.25,8.666666666666666,8.0,8.166666666666666,8.5,8.25,8.75,extgemma4-44b,24,12,8.541666666666666,8.208333333333334,8.041666666666666,8.25,7.708333333333333,8.375,8.208333333333334,8.25
glm_5_2,8.75,9.083333333333334,8.333333333333334,8.75,9.25,8.833333333333334,8.916666666666666,gemma4-31b-it,24,12,9.208333333333334,9.166666666666666,9.125,9.333333333333334,9.125,9.125,9.25,9.208333333333334
gpt_5_5,6.666666666666667,7.416666666666667,6.333333333333333,6.666666666666667,7.333333333333333,7.166666666666667,7.166666666666667,extgemma4-44b,24,12,7.75,7.291666666666667,7.208333333333333,7.166666666666667,7.0,7.541666666666667,7.25,7.291666666666667
gpt_5_5,7.083333333333333,7.916666666666667,6.5,7.083333333333333,8.0,7.0,7.25,gemma4-31b-it,24,12,8.583333333333334,8.583333333333334,8.166666666666666,7.541666666666667,8.458333333333334,8.166666666666666,8.333333333333334,8.291666666666666
